task,v,a,Ter,n
MOTOR,,,,0
WM,,,,0
EMOTION,0.5035047187584791,0.12937846976133338,0.6880657733604805,100
GAMBLING,,,,0
LANGUAGE,,,,0
RELATIONAL,0.36916718077875804,0.0888519347049796,1.3863606015794392,100
SOCIAL,0.25492487424986704,0.20989750189554424,0.4894891301870365,100
