,fearfulness,reward_sensitivity,loss_chasing,working_memory,cognitive_control,social_cognition,language_engagement
100307,1.2867625782265617,1.267590157710933,-1.1071254783819682,0.7894388021441754,0.27522986852900383,0.12642030079196898,0.1862334209714983
100408,-0.005425442362573057,-0.6267455286905045,0.9295996740753192,-0.058256524109470104,0.18468575903451206,-0.07237519395784978,0.8235628955196083
101915,-1.08175255487338,-0.8838877252934317,0.40046590803015003,0.12733324866376916,-0.13195363894624956,0.6226020473581586,1.1505455463715546
102816,-0.22222310494510641,0.03512645308915287,-0.21009973186305542,0.8437088803666113,-0.5395638176033437,0.0897741464353985,-0.3701700480435248
103414,0.5492385265404811,-0.36800188801299905,0.33856957615407846,-0.22827003728995826,-0.26063188357379274,0.8338856534731875,1.1120213736858382
103515,0.38405339815323264,0.6894613004226018,-0.6731607938759439,-0.9301805389890594,-2.2607821879624836,-1.2485170749654713,-1.1075171476893655
103818,-0.069698663937836,-0.20498700103505094,0.4038439064494563,-0.1420521774656973,0.17701401924876642,-0.029783659270002195,0.32285337771162365
105115,-0.2780449081907987,1.1388116396540948,-1.1495972103965661,0.4407634565612748,0.4407616919060373,-0.007852220903231852,0.5219714575738231
105216,1.3187246024966195,0.3961360884728383,-0.7128995660099288,0.8179157073465256,-0.513352735107066,-0.5443089495004535,2.6382516607789284
106016,-0.47024224764880457,-1.1166792743376943,1.4798271486796006,0.38919105480580163,1.157301130831928,1.697296853354416,0.5760914597280082
106319,0.42726821482252414,0.2672562385209555,-0.16709668020868207,0.12668295425868586,0.9966290893799279,-1.9802268466185222,0.5522519954395414
110411,0.10162298615249707,-0.31929469620070355,-0.2505453613763868,-1.9214751957940917,-0.2290864492732482,-1.4741427686834776,-1.0530320802958872
111009,0.9858296154012435,0.41480040039328836,-0.6020795930285081,1.8891443530058245,0.7605974959570213,0.19152586520830434,1.255504449963263
111312,0.8983491213834823,-0.8204067152369984,0.6903235094244141,0.10492092274223143,1.3897982140077023,0.26876984825907063,-0.3607230914033574
111514,0.572123251436004,1.1794496606969789,-1.1319238933444786,1.1887082647053306,0.2916814098544879,0.6415133802128424,0.686098181321716
111716,-0.49026960569422934,-1.3328178548098313,1.8817798866609303,1.3765587589318105,1.75874300381222,0.5673754375019602,1.3684828923335566
113215,-0.06458269312650952,0.5071214347672061,-0.6718682106293418,-0.18557616837538465,-0.6958781621781007,-1.3726055015068546,1.0865292842841574
113619,0.17513221043444674,0.03862731738066531,0.20804195326547123,0.9369280711627631,0.06569840323868961,0.33322482383930097,0.45542843418112344
114924,1.7857914864469817,0.8594934825562981,-0.7896994037805569,-0.24901129025405824,-0.7123341947732191,-1.1506740031537925,-1.3986498780337209
115320,-0.2510896859464941,-0.758403599455851,0.1858959360210398,-0.4680978155339959,1.0833764672422996,-1.1350124471747516,-1.256145549179851
117122,2.188568505214431,-0.6591646450310846,0.33405068243900793,-0.5087550654256111,-0.20882930069997296,0.1457089990709328,0.7251389063167231
117324,-1.8184542366947056,-0.9143268859016014,0.9594039561402161,-0.5819547933763273,-0.7532092910275316,-0.48346810221624564,-0.8334653762987938
118730,-1.3146724110813204,0.4039653023664366,-0.08645349663621298,0.8310054552319213,0.4900430735495312,-1.024630636374658,-0.8277926570489403
118932,1.778473354282096,-0.011463561984955573,-0.23535801122756306,-0.6863984029419706,2.11592963496722,0.33925314515643823,1.8674652923476114
119833,0.3820989630834275,0.7432123776916351,-0.007067045147903948,-1.424976073947164,-1.6283612255620938,-0.07663309678021722,-1.1712304178098654
120111,-0.2734671449545355,-0.9643874394073959,0.8334203121909415,1.1298101668433163,-1.4438022132008876,2.559724051487364,1.2905427264833558
120212,0.10012133432402313,2.172695419093489,-2.181779074299645,1.2796663469529685,-0.6737451576435556,0.2398324599839676,-1.463848446995104
122317,0.990378097026621,-0.0009464555189388575,0.5627059372749416,0.8118378982404766,0.6553669163281208,1.5805849535340992,-1.7929783006418198
123117,-0.7449985963308281,-0.6702406388420254,0.5330554845824658,-0.27899292757810246,0.5395459095983596,-0.7931015489241036,-1.7925971020563123
124422,-1.5669929731573204,-0.9612738616174155,1.1479592916219494,0.9427038796268713,0.854177707555448,-1.5337215424111945,-1.997795950039276
125525,0.17686320989112267,0.06422801162310822,-0.16478772180157145,-0.9994604486746775,-0.9140575780121535,-1.5928944214139957,-0.356684686067322
126325,-0.35097167046601746,-0.16424487524651313,-0.00912491599134098,8.211044791916387e-06,-0.9527072473677518,-1.195810312054436,1.2665574143681906
127933,-0.35132994714756277,-0.33619230741517797,0.8054595587882518,-1.156600834059008,-0.19907061501404016,-0.6602232503712012,1.2283374874748045
128632,-1.246185786329168,0.8355102815775602,-1.2543394759428725,-2.223526770682395,0.9404012102154914,0.450192695003741,-0.20083137995019215
129028,-0.5178600589638578,-1.1936992188844002,0.5935999911368136,-0.4339725037395667,0.3279798966055931,-0.5181374771361548,0.5244245343512959
130013,-0.09191308199397119,0.9172983270183648,-0.8165495359409656,1.2417634817545131,0.622131479298706,-0.6946753161069625,0.10071087951556709
130316,-0.21770938853879782,1.3810146297588315,-1.5962265915959701,-1.0477049823636335,-1.4750290877433208,1.7834358277643594,0.8926460860478352
130922,1.083577844437261,-0.7938531694920439,1.040248298031914,1.1134127689150692,-1.0878631941512649,1.7172185885892859,0.4624678261243544
131924,-1.1117911500222477,0.37292322224765745,-0.19592233260999017,0.1020966352095337,-2.4270671636575827,-1.7669136469539146,0.3124226910288216
133625,0.7100226309536588,-0.5245913869169652,0.33848251913047855,-0.24601325448202332,0.7939047933800796,0.741638264978971,0.5193357382441421
133827,-0.9971754814463196,-0.38144073663603245,1.1451835739059855,-0.38594923494543043,-0.4735151234438104,0.5744067429814931,-0.53236885177455
133928,-1.2647647649428069,0.6425384379772746,-0.6331891833259544,0.09368876666715974,-0.5586247898547975,-0.23894632325056098,0.16618424125620074
134324,1.8096214483031188,-2.3517663237816375,2.1565055913125373,-0.8940260907982248,0.795260837709651,0.9660600658971055,-0.9526993052841677
135932,1.4657875625363201,0.7888400205578177,-0.7994264465752714,-0.08129513241384796,0.48948615541449825,-0.5979261765787354,0.6727482562615051
136833,-1.9384285578745926,1.2854640229360663,-1.36611884109179,-0.7651041004932392,0.33097557722543536,-0.4519247951110401,-0.537918532718679
137128,0.5419466985586001,0.4268765245645951,-0.07833440259743252,0.38391743430597697,0.28413606739351155,0.0001223289570919034,0.256773853768177
138231,1.437288222630637,0.7032312765474887,-0.8011556798019808,0.4724008657714334,-0.20593392525050297,0.42072912722980527,-1.1067165385541398
138534,-2.161169525298037,0.2323556139317749,-0.34230586452537315,-0.9774731776803399,-0.19450812095518857,-0.09116829789574123,0.19751960879160899
139637,-1.197450261439857,-1.6112296056528193,1.8046222549950937,0.14684208304587226,0.5026411006814061,1.03997839167068,-0.4454951024626346
140824,0.12434667289832141,-0.8637557417906061,1.0967457707638713,-0.7982876661689985,0.08794272723894615,1.1146256901162606,0.6823146947404691
142828,2.5774551160464285,-1.4030868733561386,1.1139490810765722,-0.6223462792801879,1.2701775883786146,-0.04520858395251331,-0.21733526426275393
143325,-0.9918634288017476,-2.0711273772101553,2.2406076413842158,1.051491758220857,0.24477248942879573,0.9249097555819924,-0.34217363546372587
148032,0.39090833678937653,-0.8684047592808554,0.6675822240440233,0.7426590817774622,-0.6781376248517428,-0.14639602134121538,1.3400414252056645
148335,-0.9386688950658951,-1.7301473404530068,1.517223052642721,-2.351951724087,-0.3307352368750457,-1.9212094776811732,0.9450979655687596
149337,-1.167042283160838,-0.18244742856695145,-0.48838496159434136,-1.1711499823329103,-0.5437766337988912,0.576601438990299,-0.761575901614711
149539,1.4246886046527327,-1.2475514350019168,0.9857322873974479,-0.7878933823577717,0.0072758944918410885,-1.3384178224772503,0.039962359853012074
150524,0.30837836284228315,0.9816818472990042,-0.8664082781981035,0.5624677778153071,1.0757650389026658,-0.14049475199436243,-0.3680276228584631
151223,0.6340905086684233,0.5193854283421243,-0.399204200788285,-0.02815770985372937,0.4381688441465796,0.5629634310559806,0.15833679150390265
151526,-0.01885416690356684,0.2556261484297505,-0.009402065361647038,0.2239795886933717,1.2908105069982925,-0.4126221863864295,0.03514586372999396
151627,1.7121180109636636,0.38402097767097365,-0.34160834939183526,-0.36421910827150306,-0.09870921939169881,0.13122411505852707,1.799701672866807
153025,0.14888877552658913,-2.1486190749038467,1.923792648493533,0.14277984300015115,0.24058866235139312,0.9223887265189826,-1.691022219828202
153429,-0.050870888023219756,-0.3788385391871857,0.2975805785630521,1.7933320060203057,-0.6846859042050872,1.4522425731292414,-0.3497030057478237
154431,-0.22678585251989866,-0.8232987633229352,0.7159450303665099,0.12944948667047837,0.8490935839227916,0.8726792319738111,0.3499368152224066
156233,-2.0023638199650367,0.9062300550698796,-0.946710999270926,-1.8893993496997663,-0.42966802784611435,0.47578398735540767,-0.38514165071526085
156637,-1.1146735679651993,-1.4237237613654474,1.4157653689406604,-0.6465859101201549,-0.1736012345556511,0.1706560714605442,0.07579776034900992
157336,-1.2747795685336036,0.954288785932764,-1.1400806858159682,0.8458423346140878,-0.17974080785216814,0.9540318626197176,0.2682787182515251
158035,0.4745897399329178,1.604986478102356,-1.7351390565886404,2.0221528771731183,-0.6563908699902653,0.7463823094826746,0.6815432415032918
158540,0.22407161416238916,-0.7324979881696856,0.4259463422348508,0.5510443324314712,0.4529002270457792,-0.1672585853247549,0.069251294127759
159239,0.6469751885904867,1.2894690721968787,-1.484780470473395,0.4228854840432479,1.060457489544451,0.2287662779157729,0.5873972809094052
159340,-0.06192220066240223,-1.3834198688209625,1.025783059949705,0.7017387972509915,0.7481456080132514,0.4963608214629491,0.7472008145635004
160123,0.5356836468807523,2.0681290464623587,-1.8960916443518403,0.7191035118252065,0.35085845284515693,-1.1546903170658356,-1.208563025517212
161731,1.298310800016676,0.7981926701655034,-0.8205472170554918,0.08113253489738413,0.12114768774569223,0.3593237244471104,0.4998855899708999
162329,0.491694913165889,1.2403889846267189,-1.1894207334078304,-1.1543208718823086,-0.0689804319015235,-0.7426347451428952,-0.9393307332845754
162733,-1.177824781187139,-0.45315107590908493,0.9591475503207422,0.3125925597649007,1.9566669409129513,-1.2077983832875425,0.6150912066178608
163129,0.3401840614384251,0.9135217746874937,-0.8572509006087695,0.17342890927118507,0.7402840995193989,0.31558731719100214,0.06186216213856341
163432,-0.07617024266906437,0.47035834082791095,-0.7819830205429983,-0.6041848204101307,0.24776058734078563,-1.7145787115020308,-0.663065665860461
167743,0.8813998668378822,0.3192085605799781,0.2061349585152388,-0.24551151952768674,-0.2676765228730437,-0.4484119349105342,-0.03238491264286792
172332,-0.620508834406903,1.0870921141984264,-1.2343463933643102,-0.3082905530369281,-0.14118882373913766,0.4361798186549415,-0.2732528361271552
175439,-0.7413505081749242,-0.3681146623042282,0.28836011139937806,-0.2118141182278618,0.3000428811930772,1.8427200228643723,-2.5116264479487427
176542,0.4521962692173878,0.2874613252466437,-0.3695195794788969,-1.5081620261506965,-0.12497644282322434,0.9550663013961157,1.45718575308744
178950,-1.8832100265002802,-1.8375324736754937,1.6565162200351204,1.5107397481870248,0.4618827775769036,0.05853506763727455,0.9408974720984001
182739,-0.5044486206408484,0.6116266467377492,-0.30626317427818983,-2.0977681579845595,-1.989628501107401,-0.12833045097534315,0.07745784899181689
185139,0.9944411079650117,1.6835034987326754,-1.604568299350997,2.353248958988008,-0.29768169650494075,2.009280367473252,1.3962690900862174
188347,0.09464535178324952,-0.9998516020086615,0.8881319158017306,0.07711055059774766,-1.190583150917363,-0.4839979822579021,-1.7953397946819605
189450,-0.5266672049539823,0.34872643279842414,-0.22947645565627287,-0.8206922367530161,-1.2055480801155471,-0.5810273115554808,-0.36679113705846966
190031,-1.3909541990696257,-0.15333190048182613,0.22529846966828151,1.6003589106303018,-0.352071040068274,0.3841990474230823,0.46303785913932816
192439,-1.514652597077411,-0.11166887239668746,0.2615036255705353,-1.3650463392721932,0.48869184128417886,-2.8923566693074174,0.8996885204489895
192540,0.9344258438831283,-0.6882918261086431,0.6420945537169392,1.63919050764214,0.2491204813547718,-1.572858213484621,0.3789456532145895
193239,-0.3402381821878555,-0.962726923085031,1.0163196708629005,0.5607304503633521,0.5703695317986002,0.476581625655367,-0.5166951068602017
194140,-0.21172156686699908,-0.005257992520495941,-0.27274754975619675,-1.89862608277248,-1.759978306534583,-0.7302157662565267,-1.2931647391538426
196144,-0.3727419376796414,0.99022257816884,-1.0640491359856021,0.33999797527405595,1.3908510972396984,0.7308842648151077,0.45336821478299716
196750,0.5095727289339362,0.6666996717598366,-0.6161916142099918,0.3923157458782458,-1.1942659966288598,0.6092495979784113,-0.2585710275726137
197550,-0.39940351913182803,-0.5399510927000912,0.511241317087137,-0.6856592523383633,-3.280364552697002,-0.3345738321036217,-2.6117530013593484
198451,0.576275285325997,2.3846627196657653,-2.4944159418922727,-1.3678151615474905,1.2879716755489188,0.512065741572068,-0.38642832518638753
199150,-0.47793737787629936,1.1426655334573355,-0.8650144480683987,1.118309255418406,-0.9117872383645528,2.4381102344683367,-1.6151127178583615
199655,-0.542902262374383,-0.44405779313147625,0.7203130009241652,0.8725877942271655,0.7227360454158052,0.29582665836182453,1.5818398178920268
200614,-0.11212073507876978,0.49828739597186267,-0.18022615951406876,0.9091546749162013,2.6233224763496694,-0.030983954319906578,-0.7428971946940448
201111,-0.12339717553829432,0.6651410840218879,-0.6639041343343007,-0.2443854359561024,0.13630125052287345,-0.3020408525109006,-1.2103904642015522
201414,-0.33114812699819074,0.7366431085055084,-0.3435974241253942,0.5955020166202589,0.10825323645761793,-0.7626510498054847,-0.21159704600419033
205119,2.3689018441641982,-1.7813473600622753,1.6608080054018297,-1.9783847110720407,-2.7457731898911235,-0.9900688684430655,0.48596605974136076
